"","dateRep","day","month","year","cases","deaths","country","popData2019","continentExp"
"180","15/06/2020",15,6,2020,664,20,"Afghanistan",38041757,"Asia"
"181","14/06/2020",14,6,2020,556,5,"Afghanistan",38041757,"Asia"
"182","13/06/2020",13,6,2020,656,20,"Afghanistan",38041757,"Asia"
"183","12/06/2020",12,6,2020,747,21,"Afghanistan",38041757,"Asia"
"184","11/06/2020",11,6,2020,684,21,"Afghanistan",38041757,"Asia"
"185","10/06/2020",10,6,2020,542,15,"Afghanistan",38041757,"Asia"
"186","09/06/2020",9,6,2020,575,12,"Afghanistan",38041757,"Asia"
"187","08/06/2020",8,6,2020,791,30,"Afghanistan",38041757,"Asia"
"188","07/06/2020",7,6,2020,582,18,"Afghanistan",38041757,"Asia"
"189","06/06/2020",6,6,2020,915,9,"Afghanistan",38041757,"Asia"
"190","05/06/2020",5,6,2020,787,6,"Afghanistan",38041757,"Asia"
"191","04/06/2020",4,6,2020,758,24,"Afghanistan",38041757,"Asia"
"192","03/06/2020",3,6,2020,759,5,"Afghanistan",38041757,"Asia"
"193","02/06/2020",2,6,2020,545,8,"Afghanistan",38041757,"Asia"
"194","01/06/2020",1,6,2020,680,8,"Afghanistan",38041757,"Asia"
"195","31/05/2020",31,5,2020,866,3,"Afghanistan",38041757,"Asia"
"196","30/05/2020",30,5,2020,623,11,"Afghanistan",38041757,"Asia"
"197","29/05/2020",29,5,2020,580,8,"Afghanistan",38041757,"Asia"
"198","28/05/2020",28,5,2020,625,7,"Afghanistan",38041757,"Asia"
"199","27/05/2020",27,5,2020,658,1,"Afghanistan",38041757,"Asia"
"200","26/05/2020",26,5,2020,591,1,"Afghanistan",38041757,"Asia"
"201","25/05/2020",25,5,2020,584,2,"Afghanistan",38041757,"Asia"
"202","24/05/2020",24,5,2020,782,11,"Afghanistan",38041757,"Asia"
"203","23/05/2020",23,5,2020,540,12,"Afghanistan",38041757,"Asia"
"204","22/05/2020",22,5,2020,531,6,"Afghanistan",38041757,"Asia"
"205","21/05/2020",21,5,2020,492,9,"Afghanistan",38041757,"Asia"
"206","20/05/2020",20,5,2020,581,5,"Afghanistan",38041757,"Asia"
"207","19/05/2020",19,5,2020,408,4,"Afghanistan",38041757,"Asia"
"208","18/05/2020",18,5,2020,262,1,"Afghanistan",38041757,"Asia"
"209","17/05/2020",17,5,2020,0,0,"Afghanistan",38041757,"Asia"
"210","16/05/2020",16,5,2020,1063,32,"Afghanistan",38041757,"Asia"
"211","15/05/2020",15,5,2020,113,6,"Afghanistan",38041757,"Asia"
"212","14/05/2020",14,5,2020,259,3,"Afghanistan",38041757,"Asia"
"213","13/05/2020",13,5,2020,280,5,"Afghanistan",38041757,"Asia"
"214","12/05/2020",12,5,2020,285,2,"Afghanistan",38041757,"Asia"
